GROUP	SCORE	PATH
RETRIEVAL	22	backend/tests/unit/ee/onyx/external_permissions/google_drive/test_gdrive_domain_permission_scoping.py
RETRIEVAL	21	backend/onyx/connectors/google_utils/google_utils.py
RETRIEVAL	21	backend/onyx/connectors/notion/connector.py
RETRIEVAL	21	backend/onyx/document_index/vespa/vespa_document_index.py
RETRIEVAL	21	backend/tests/external_dependency_unit/natural_language_processing/test_query_embedding_cache.py
SUMMARY	RETRIEVAL	25
RERANK	40	backend/onyx/natural_language_processing/search_nlp_models.py
RERANK	32	backend/model_server/legacy/reranker.py
RERANK	9	backend/alembic/versions/78ebc66946a0_remove_reranking_from_search_settings.py
RERANK	9	backend/shared_configs/configs.py
RERANK	6	backend/alembic/versions/1f60f60c3401_embedding_model_search_settings.py
RERANK	4	backend/shared_configs/model_server_models.py
RERANK	3	backend/alembic/versions/ba98eba0f66a_add_support_for_litellm_proxy_in_.py
RERANK	3	backend/onyx/configs/app_configs.py
RERANK	3	backend/onyx/document_index/vespa/vespa_document_index.py
RERANK	3	backend/onyx/tracing/flows.py
RERANK	2	backend/onyx/configs/model_configs.py
RERANK	1	backend/onyx/configs/agent_configs.py
RERANK	1	backend/onyx/document_index/opensearch/constants.py
RERANK	1	backend/onyx/kg/clustering/normalizations.py
RERANK	1	backend/onyx/natural_language_processing/constants.py
RERANK	1	backend/onyx/server/features/search/api.py
RERANK	1	backend/onyx/server/manage/llm/api.py
RERANK	1	backend/onyx/tracing/llm_utils.py
RERANK	1	backend/shared_configs/enums.py
SUMMARY	RERANK	19
CONTEXT_PROMPT	1181	backend/tests/unit/onyx/chat/test_citation_processor.py
CONTEXT_PROMPT	313	backend/onyx/chat/citation_processor.py
CONTEXT_PROMPT	239	backend/onyx/chat/llm_loop.py
CONTEXT_PROMPT	208	backend/onyx/chat/process_message.py
CONTEXT_PROMPT	206	backend/tests/unit/onyx/chat/test_llm_loop.py
CONTEXT_PROMPT	156	backend/onyx/indexing/indexing_pipeline.py
CONTEXT_PROMPT	148	backend/tests/unit/onyx/server/features/craft/interactive_turns/test_executor.py
CONTEXT_PROMPT	129	backend/onyx/chat/chat_utils.py
CONTEXT_PROMPT	124	backend/tests/unit/onyx/chat/test_citation_utils.py
CONTEXT_PROMPT	119	backend/onyx/db/input_prompt.py
CONTEXT_PROMPT	113	backend/onyx/chat/prompt_utils.py
CONTEXT_PROMPT	110	backend/tests/external_dependency_unit/tools/test_python_tool.py
CONTEXT_PROMPT	104	backend/onyx/tools/fake_tools/research_agent.py
CONTEXT_PROMPT	96	backend/onyx/chat/citation_utils.py
CONTEXT_PROMPT	94	backend/onyx/deep_research/dr_loop.py
CONTEXT_PROMPT	93	backend/onyx/server/features/mcp/oauth.py
CONTEXT_PROMPT	92	backend/scripts/tenant_cleanup/no_bastion_cleanup_tenants.py
CONTEXT_PROMPT	89	backend/tests/external_dependency_unit/llm/test_prompt_caching.py
CONTEXT_PROMPT	87	backend/alembic/versions/abbfec3a5ac5_merge_prompt_into_persona.py
CONTEXT_PROMPT	86	backend/onyx/prompts/prompt_utils.py
CONTEXT_PROMPT	86	backend/onyx/server/features/input_prompt/api.py
CONTEXT_PROMPT	81	backend/tests/unit/onyx/context/search/federated/test_slack_thread_context.py
CONTEXT_PROMPT	79	backend/tests/unit/onyx/llm/test_tracing_wrap.py
CONTEXT_PROMPT	77	backend/onyx/context/search/federated/slack_search.py
CONTEXT_PROMPT	77	backend/tests/unit/onyx/chat/test_context_files.py
SUMMARY	CONTEXT_PROMPT	25
MEMORY	166	backend/onyx/server/query_and_chat/chat_backend.py
MEMORY	128	backend/onyx/db/chat.py
MEMORY	98	backend/onyx/chat/process_message.py
MEMORY	82	backend/tests/integration/tests/chat/test_chat_deletion.py
MEMORY	64	backend/ee/onyx/server/query_history/api.py
MEMORY	51	backend/alembic/versions/6756efa39ada_id_uuid_for_chat_session.py
MEMORY	48	backend/tests/integration/tests/chat/test_chat_session_access.py
MEMORY	38	backend/tests/external_dependency_unit/db/test_incognito_history_exclusion.py
MEMORY	38	backend/tests/external_dependency_unit/tools/test_memory_tool_integration.py
MEMORY	32	backend/ee/onyx/server/query_history/models.py
MEMORY	32	backend/tests/integration/common_utils/managers/chat.py
MEMORY	31	backend/tests/integration/connector_job_tests/slack/slack_api_utils.py
MEMORY	31	backend/tests/unit/onyx/chat/test_chat_utils.py
MEMORY	29	backend/onyx/server/features/projects/api.py
MEMORY	28	backend/alembic/versions/16c37a30adf2_user_file_relationship_migration.py
MEMORY	28	backend/onyx/chat/chat_utils.py
MEMORY	28	backend/onyx/db/models.py
MEMORY	28	backend/tests/integration/tests/streaming_endpoints/test_resume_stream.py
MEMORY	28	backend/tests/unit/onyx/chat/test_llm_loop.py
MEMORY	27	backend/onyx/chat/stream_buffer.py
MEMORY	27	backend/tests/integration/tests/query_history/test_query_history_pagination.py
MEMORY	26	backend/onyx/chat/incognito_context.py
MEMORY	26	backend/tests/integration/tests/chat_retention/test_chat_retention.py
MEMORY	24	backend/onyx/db/memory.py
MEMORY	24	backend/tests/integration/multitenant_tests/syncing/test_search_permissions.py
SUMMARY	MEMORY	25
AUTHORIZATION	783	backend/tests/external_dependency_unit/opensearch/test_opensearch_client.py
AUTHORIZATION	320	backend/ee/onyx/db/user_tenant_mapping.py
AUTHORIZATION	296	backend/onyx/onyxbot/slack/listener.py
AUTHORIZATION	284	backend/onyx/auth/users.py
AUTHORIZATION	283	backend/scripts/tenant_cleanup/no_bastion_cleanup_tenants.py
AUTHORIZATION	265	backend/onyx/db/models.py
AUTHORIZATION	234	backend/onyx/db/document_set.py
AUTHORIZATION	228	backend/ee/onyx/server/tenants/provisioning.py
AUTHORIZATION	226	backend/tests/integration/multitenant_tests/discord_bot/test_discord_bot_multitenant.py
AUTHORIZATION	215	backend/tests/external_dependency_unit/db/test_shard_routing.py
AUTHORIZATION	192	backend/onyx/db/persona.py
AUTHORIZATION	180	backend/tests/external_dependency_unit/auth/test_sso_login_discovery.py
AUTHORIZATION	171	backend/tests/external_dependency_unit/redis/test_tenant_redis.py
AUTHORIZATION	165	backend/onyx/server/manage/users.py
AUTHORIZATION	164	backend/onyx/auth/permissions.py
AUTHORIZATION	162	backend/scripts/tenant_cleanup/no_bastion_mark_connectors.py
AUTHORIZATION	158	backend/ee/onyx/db/user_group.py
AUTHORIZATION	156	backend/ee/onyx/background/celery/tasks/tenant_provisioning/tasks.py
AUTHORIZATION	151	backend/onyx/server/features/document_set/api.py
AUTHORIZATION	149	backend/alembic/env.py
AUTHORIZATION	148	backend/ee/onyx/background/celery/tasks/doc_permission_syncing/tasks.py
AUTHORIZATION	138	backend/scripts/tenant_cleanup/no_bastion_analyze_tenants.py
AUTHORIZATION	132	backend/ee/onyx/external_permissions/google_drive/doc_sync.py
AUTHORIZATION	132	backend/onyx/background/celery/tasks/docprocessing/tasks.py
AUTHORIZATION	130	backend/tests/unit/sandbox_proxy/test_gate.py
SUMMARY	AUTHORIZATION	25
