SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
14	backend/onyx/evals/models.py	EvalConfigurationOptions.get_configuration	100	108	0	2	0	2	0	0	0	EvalConfiguration,get_builtin_tool
14	backend/onyx/indexing/indexing_pipeline.py	_apply_document_ingestion_hook	1148	1275	1	0	0	4	0	0	0	DocumentIngestionOwner,DocumentIngestionPayload,DocumentIngestionSection,ImageSection,TextSection,_apply_result,_build_payload,doc.doc_updated_at.isoformat,doc.metadata.items,doc.model_copy,execute_hook,get_session_with_current_tenant,isinstance,logger.info,logger.warning,model_dump,new_sections.append,o.get_semantic_name,result.append
14	backend/onyx/llm/well_known_providers/llm_provider_options.py	get_openai_model_names	150	191	1	0	2	1	0	0	1	any,date_pattern.search,is_valid_model,model.lower,model.removeprefix,re.compile,sorted
14	backend/onyx/onyxbot/slack/handlers/handle_buttons.py	_convert_document_ids_to_citation_info	59	74	0	0	0	1	0	0	11	CitationInfo,citation_dict.items,citation_list_with_document_id.append
14	backend/onyx/onyxbot/slack/listener.py	process_feedback	893	922	4	0	0	2	0	0	0	action.get,cast,decompose_action_id,get,handle_slack_feedback,logger.error,logger.info,req.payload.get
14	backend/onyx/server/manage/search_settings.py	validate_contextual_rag_model	728	750	1	0	0	2	0	0	6	OnyxError,db_session.get,fetch_default_contextual_rag_model
13	backend/onyx/chat/process_message.py	gather_stream	2171	2218	0	0	0	1	0	0	10	ChatBasicResponse,RuntimeError,ValueError,citations.append,isinstance,log_function_time,remove_answer_citations
13	backend/onyx/connectors/braintrust/connector.py	BraintrustConnector._has_rows_in_window	249	258	0	0	1	3	0	0	0	bool,data.get,end_dt.isoformat,self._request,start_dt.isoformat
13	backend/onyx/connectors/highspot/connector.py	HighspotConnector.poll_source	143	304	0	0	1	3	0	0	0	Document,TextSection,_parse_highspot_timestamp,datetime.fromisoformat,doc_batch.append,item.get,item_details.get,len,logger.error,logger.info,logger.warning,response.get,self._fetch_spots_to_process,self._get_item_content,self.client.get_item,self.client.get_spot_items,str,updated_at.replace,updated_time.timestamp
13	backend/onyx/connectors/teams/connector.py	_get_team_by_id	756	769	0	0	1	3	0	0	0	RuntimeError,ValueError,execute_query_with_retry,filter,graph_client.teams.get,top
13	backend/onyx/db/chat.py	get_chat_sessions_older_than	408	450	5	0	0	1	0	0	0	datetime.now,db_session.execute,fetchall,func.coalesce,func.max,group_by,having,last_activity.asc,limit,outerjoin,select,stmt.order_by,timedelta
13	backend/onyx/db/document_access.py	get_accessible_documents_by_ids	61	77	3	0	1	1	0	0	0	Document.id.in_,all,apply_document_access_filter,db_session.execute,list,scalars,select,stmt.distinct,where
13	backend/onyx/db/entity_type.py	get_entity_types	33	48	0	0	1	3	0	0	0	all,db_session.query,filter,order_by
13	backend/onyx/db/feedback.py	remove_chat_message_feedback	253	271	3	0	1	1	0	0	0	ValueError,db_session.commit,db_session.query,delete,filter,get_chat_message
13	backend/onyx/db/persona.py	persona_has_search_tool	2096	2105	0	0	1	3	0	0	0	ValueError,any,db_session.query,filter,one_or_none,options,selectinload
13	backend/onyx/db/projects.py	get_user_files_from_project	204	216	3	0	1	1	0	0	0	all,check_project_ownership,db_session.query,filter,join
13	backend/onyx/db/scheduled_task.py	update_scheduled_task	186	246	3	0	0	1	0	0	4	_replace_pre_approved_targets,compute_next_run_at,datetime.now,db_session.flush,get_scheduled_task
13	backend/onyx/db/search_settings.py	clear_reclaim_intent__no_commit	324	335	0	1	0	3	0	0	0	db_session.get
13	backend/onyx/db/skill.py	_is_group_shared_only_within_managed_scope	129	139	3	1	0	1	0	0	0	Skill.public_permission.is_,scoped_group_ids_subquery,within_managed_scope_clause
13	backend/onyx/db/users.py	get_all_accepted_users	425	437	3	0	1	1	0	0	0	_get_accepted_user_where_clause,all,db_session.scalars,order_by,select,stmt.where,unique
13	backend/onyx/db/users.py	batch_get_user_groups	1001	1028	5	0	0	1	0	0	0	User__UserGroup.user_id.in_,all,append,db_session.execute,join,select,stmt.where,where
13	backend/onyx/document_index/disabled.py	DisabledDocumentIndex.id_based_retrieval	62	68	0	0	1	2	1	0	0	RuntimeError
13	backend/onyx/document_index/disabled.py	DisabledDocumentIndex.random_retrieval	98	104	0	0	1	2	1	0	0	RuntimeError
13	backend/onyx/indexing/indexing_pipeline.py	filter_documents	639	742	0	0	1	3	0	0	0	ConnectorFailure,DocumentFailure,any,document.semantic_identifier.strip,document.title.strip,documents.append,failures.append,format,isinstance,len,logger.debug,logger.warning,section.text.strip,skipped_too_long.append,sum
13	backend/onyx/kg/clustering/clustering.py	_get_batch_entities_with_parent	104	123	1	0	2	1	0	0	0	KGEntityExtractionStaging.parent_key.isnot,all,db_session.query,filter,get_session_with_current_tenant,limit,offset,order_by
13	backend/onyx/mcp_server/tools/search.py	_unknown_value_error	120	138	1	0	2	1	0	0	0	join,len,sorted
13	backend/onyx/onyxbot/slack/blocks.py	_build_citations_blocks	321	337	0	0	0	1	0	0	10	_build_sources_blocks,cited_docs.append,cited_docs.sort,next
13	backend/onyx/server/features/build/external_apps/api.py	list_external_apps_admin	315	328	1	2	0	1	0	0	0	Depends,_to_admin_response,admin_router.get,get_action_policies,get_external_apps,require_permission
13	backend/onyx/server/manage/llm/api.py	list_llm_providers	522	568	1	2	0	1	0	0	0	DefaultModel.from_model_config,Depends,LLMProviderView.from_model,Query,_mask_provider_credentials,admin_router.get,datetime.now,fetch_default_chat_naming_model,fetch_default_craft_model,fetch_default_llm_model,fetch_default_vision_model,fetch_existing_llm_providers,format,from_models,llm_provider_list.append,logger.debug,require_permission,total_seconds
13	backend/onyx/tools/tool_implementations/open_url/open_url_tool.py	OpenURLTool._retrieve_indexed_with_filters	633	638	0	0	1	3	0	0	0	self._retrieve_indexed_documents_with_filters
13	backend/onyx/tools/tool_implementations/web_search/utils.py	inference_section_from_internet_search_result	162	194	0	0	0	4	0	0	1	InferenceChunk,InferenceSection
12	backend/onyx/chat/chat_utils.py	build_citation_map_from_numbers	385	397	0	0	0	2	0	0	6	len,set,sorted
12	backend/onyx/chat/process_message.py	resolve_context_user_files	314	338	4	0	0	1	0	0	1	get_user_files_from_project,list
12	backend/onyx/connectors/highspot/connector.py	HighspotConnector._get_item_content	306	378	0	0	0	2	0	0	6	BytesIO,content_name.split,extract_file_text,item_details.get,logger.error,logger.info,logger.warning,lower,scrape_url_content,self._extract_title_and_description,self.client.get_item_content,str
12	backend/onyx/db/llm.py	upsert_llm_provider	314	536	0	0	2	1	0	0	1	LLMProviderModel,LLMProviderView.from_model,ModelConfiguration.id.in_,ValueError,custom_config.items,db_session.add,db_session.commit,db_session.flush,db_session.query,db_session.refresh,db_session.rollback,defaults_by_model_id.get,delete,ensure_default_within_max,existing_by_name.get,existing_by_name.items,fetch_default_flows_by_model_id,fetch_existing_llm_provider_by_id,filter,insert_new_model_configuration__no_commit,join,merged.add,merged_capabilities.get,requested_visibility.get,set,sorted,str,supported_flows.extend,update_group_llm_provider_relationships__no_commit,update_llm_provider_persona_relationships__no_commit,update_model_configuration__no_commit,v.strip
12	backend/onyx/db/persona.py	mark_persona_user_files_for_sync	1524	1539	1	0	1	1	1	0	0	_mark_files_need_persona_sync,db_session.query,filter,first,options,selectinload
12	backend/onyx/db/port_attempt.py	_user_file_port_has_pending_work	380	400	3	0	0	2	0	0	0	_latest_port_status_by_user,bool,fetch_port_scope_user_ids,latest.items,set
12	backend/onyx/db/port_attempt.py	all_user_scopes_ported	439	450	3	0	0	2	0	0	0	_latest_port_status_by_user,latest.items,set
12	backend/onyx/db/relationships.py	transfer_relationship	172	223	0	0	1	1	0	0	5	RuntimeError,db_session.execute,db_session.flush,db_session.query,dict,filter,make_relationship_id,on_conflict_do_update,pg_insert,returning,scalar,update,values
12	backend/onyx/document_index/opensearch/client.py	OpenSearchIndexClient._is_pit_expired	1961	1968	0	0	0	3	0	0	3	getattr,str
12	backend/onyx/file_processing/image_summarization.py	_summarize_image	110	166	0	0	0	3	0	0	3	ImageContentPart,ImageUrlDetail,SystemMessage,TextContentPart,UserMessage,ValueError,content.append,getattr,join,len,llm.invoke,llm_generation_span,llm_response_to_string,messages.append,parts.append,record_llm_response,str,type
12	backend/onyx/onyxbot/slack/blocks.py	_build_sources_blocks	245	318	0	0	0	3	0	0	3	ContextBlock,ImageElement,MarkdownTextObject,SectionBlock,_clean_markdown_link_text,_format_doc_updated_at,escape_slack_specials,format_slack_link_url,join,len,section_blocks.append,seen_docs_identifiers.add,set,source_to_github_img_link
11	backend/onyx/chat/llm_loop.py	select_reminder_text	715	740	0	0	0	2	0	0	5	build_reminder_message
11	backend/onyx/connectors/box/connector.py	BoxConnector._convert_file	467	515	0	2	0	1	0	0	0	BasicExpertInfo,ConnectorFailure,Document,DocumentFailure,_to_utc,box_file_document_id,box_file_link,logger.warning,resolve_box_file_access,self._build_file_sections
